type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
nombre;A1;Grundzahlen — compter;null;0 (zéro);0 (zero);Das Ergebnis ist null zu null.;Le score est zéro à zéro.;The score is nil-nil.
nombre;A1;Grundzahlen — compter;eins;1 (un);1 (one);Es ist eins nach Mitternacht.;Il est une heure du matin.;It's one in the morning.
nombre;A1;Grundzahlen — compter;zwei;2 (deux);2 (two);Ich hätte gern zwei Karten.;Je voudrais deux billets.;I'd like two tickets.
nombre;A1;Grundzahlen — compter;drei;3 (trois);3 (three);Wir sind zu dritt, also drei Personen.;Nous sommes trois, donc trois personnes.;There are three of us.
nombre;A1;Grundzahlen — compter;vier;4 (quatre);4 (four);Der Tisch hat vier Beine.;La table a quatre pieds.;The table has four legs.
nombre;A1;Grundzahlen — compter;fünf;5 (cinq);5 (five);In fünf Minuten fährt der Bus.;Le bus part dans cinq minutes.;The bus leaves in five minutes.
nombre;A1;Grundzahlen — compter;sechs;6 (six);6 (six);Das Ei kocht sechs Minuten.;L'œuf cuit six minutes.;The egg boils for six minutes.
nombre;A1;Grundzahlen — compter;sieben;7 (sept);7 (seven);Die Woche hat sieben Tage.;La semaine a sept jours.;The week has seven days.
nombre;A1;Grundzahlen — compter;acht;8 (huit);8 (eight);Ich arbeite acht Stunden pro Tag.;Je travaille huit heures par jour.;I work eight hours a day.
nombre;A1;Grundzahlen — compter;neun;9 (neuf);9 (nine);Das Geschäft öffnet um neun.;Le magasin ouvre à neuf heures.;The shop opens at nine.
nombre;A1;Grundzahlen — compter;zehn;10 (dix);10 (ten);Ich habe zehn Finger.;J'ai dix doigts.;I have ten fingers.
nombre;A1;Grundzahlen — compter;elf;11 (onze);11 (eleven);Eine Mannschaft hat elf Spieler.;Une équipe compte onze joueurs.;A team has eleven players.
nombre;A1;Grundzahlen — compter;zwölf;12 (douze);12 (twelve);Das Jahr hat zwölf Monate.;L'année a douze mois.;The year has twelve months.
nombre;A1;Grundzahlen — compter;dreizehn;13 (treize);13 (thirteen);Im dreizehnten Stock gibt es Zimmer dreizehn nicht.;Au treizième étage, la chambre treize n'existe pas.;On the thirteenth floor there is no room thirteen.
nombre;A1;Grundzahlen — compter;vierzehn;14 (quatorze);14 (fourteen);Der Kurs dauert vierzehn Tage.;Le cours dure quatorze jours.;The course lasts fourteen days.
nombre;A1;Grundzahlen — compter;fünfzehn;15 (quinze);15 (fifteen);Die Pause dauert fünfzehn Minuten.;La pause dure quinze minutes.;The break lasts fifteen minutes.
nombre;A1;Grundzahlen — compter;sechzehn;16 (seize) — sans le s de sechs;16 (sixteen);Mit sechzehn darf man hier nicht Auto fahren.;À seize ans, on ne peut pas conduire ici.;At sixteen you may not drive here.
nombre;A1;Grundzahlen — compter;siebzehn;17 (dix-sept) — sans le -en de sieben;17 (seventeen);Sie ist siebzehn Jahre alt.;Elle a dix-sept ans.;She is seventeen years old.
nombre;A1;Grundzahlen — compter;achtzehn;18 (dix-huit);18 (eighteen);Mit achtzehn ist man volljährig.;À dix-huit ans, on est majeur.;At eighteen you come of age.
nombre;A1;Grundzahlen — compter;neunzehn;19 (dix-neuf);19 (nineteen);Der Film beginnt um neunzehn Uhr.;Le film commence à dix-neuf heures.;The film starts at seven p.m.
