type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
expression;A1;Begrüßung/Small Talk;Wie geht's?;Comment ça va ?;How are you?;Hallo Anna, wie geht's?;Salut Anna, comment ça va ?;Hi Anna, how are you?
expression;A1;Begrüßung/Small Talk;Danke, gut;Merci, ça va;Fine, thanks;Danke, gut. Und dir?;Merci, ça va. Et toi ?;Fine, thanks. And you?
expression;A1;Begrüßung/Small Talk;Bis später;À plus tard;See you later;Ich muss los, bis später!;Je dois y aller, à plus tard !;I have to go, see you later!
expression;A1;Begrüßung/Small Talk;Bis bald;À bientôt;See you soon;Schönes Wochenende, bis bald!;Bon week-end, à bientôt !;Have a nice weekend, see you soon!
expression;A1;Begrüßung/Small Talk;Guten Appetit;Bon appétit;Enjoy your meal;Das Essen ist fertig – guten Appetit!;Le repas est prêt – bon appétit !;The food is ready – enjoy your meal!
expression;A1;Begrüßung/Small Talk;Herzlichen Glückwunsch;Félicitations;Congratulations;Herzlichen Glückwunsch zum Geburtstag!;Joyeux anniversaire !;Happy birthday – congratulations!
expression;A1;Begrüßung/Small Talk;Entschuldigung;Pardon, excusez-moi;Excuse me, sorry;Entschuldigung, wo ist der Bahnhof?;Excusez-moi, où est la gare ?;Excuse me, where is the station?
expression;A1;Gefühle/Reaktionen;Es tut mir leid;Je suis désolé;I'm sorry;Es tut mir leid, ich habe deinen Anruf verpasst.;Je suis désolé, j'ai raté ton appel.;I'm sorry, I missed your call.
expression;A1;Gefühle/Reaktionen;Keine Ahnung;Aucune idée;No idea;Wann kommt der Bus? – Keine Ahnung.;Quand vient le bus ? – Aucune idée.;When is the bus coming? – No idea.
expression;A1;Gefühle/Reaktionen;Kein Problem;Pas de problème;No problem;Kannst du mir helfen? – Kein Problem.;Tu peux m'aider ? – Pas de problème.;Can you help me? – No problem.
expression;A1;Gefühle/Reaktionen;Macht nichts;Ce n'est pas grave;Never mind;Ich habe das Brot vergessen. – Macht nichts.;J'ai oublié le pain. – Ce n'est pas grave.;I forgot the bread. – Never mind.
expression;A1;Gefühle/Reaktionen;Schade;Dommage;That's a pity;Du kannst nicht kommen? Schade!;Tu ne peux pas venir ? Dommage !;You can't come? That's a pity!
expression;A1;Meinung/Zustimmung;Ich glaube;Je crois;I think;Ich glaube, der Laden ist heute zu.;Je crois que le magasin est fermé aujourd'hui.;I think the shop is closed today.
expression;A1;Meinung/Zustimmung;Ich finde;Je trouve;I find, I think;Ich finde den Film sehr gut.;Je trouve le film très bien.;I find the film very good.
expression;A1;Meinung/Zustimmung;Genau;Exactement;Exactly;Wir treffen uns um acht? – Genau.;On se retrouve à huit heures ? – Exactement.;We're meeting at eight? – Exactly.
expression;A1;Meinung/Zustimmung;Einverstanden;D'accord;Agreed;Treffen wir uns morgen? – Einverstanden.;On se voit demain ? – D'accord.;Shall we meet tomorrow? – Agreed.
