type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
particule modale;A2;particule modale;doch;insistance amicale, encouragement;friendly insistence, encouragement;Mach das doch!;Vas-y, fais-le donc !;Go ahead and do it!
particule modale;A2;particule modale;mal;adoucit une demande;softens a request;Komm mal her!;Viens un peu par ici.;Come here for a sec.
particule modale;A2;particule modale;denn;curiosité informelle;informal curiosity;Was machst du denn?;Qu'est-ce que tu fais donc ?;So what are you up to?
particule modale;B1;particule modale;eben / halt;résignation, « c'est comme ça »;"resignation, ""that's just how it is""";Das ist eben so.;C'est comme ça, un point c'est tout.;That's just how it is.
particule modale;B1;particule modale;wohl;supposition probable;probable assumption;Das wird wohl stimmen.;Ça doit sûrement être vrai.;That's probably right.
particule modale;B1;particule modale;ja;évidence partagée;shared obviousness;Das ist ja klar!;Mais c'est évident, voyons !;That's obvious, of course!
particule modale;B1;particule modale;schon;rassurance, encouragement confiant;reassurance, confident encouragement;Das schaffst du schon!;T'inquiète, tu vas y arriver.;Don't worry, you'll manage!
particule modale;B2;particule modale;aber;surprise, emphase admirative;surprise, admiring emphasis;Das ist aber schön!;Ça alors, que c'est beau !;Wow, that's beautiful!
particule modale;B1;particule modale;eigentlich;curiosité, changement de sujet;curiosity, change of subject;Was machst du eigentlich?;Au fait, qu'est-ce que tu fais ?;By the way, what are you up to?
particule modale;B2;particule modale;bloß / nur;urgence, mise en garde;urgency, warning;Geh bloß nicht dahin!;Ne va surtout pas là-bas !;Whatever you do, don't go there!
particule modale;B2;particule modale;ruhig;permission rassurante;reassuring permission;Du kannst ruhig fragen.;Tu peux demander sans problème.;Feel free to ask.
particule modale;B1;particule modale;einfach;simplicité, désinvolture;simplicity, casualness;Sag es einfach!;Dis-le, tout simplement.;Just say it!
particule modale;B2;particule modale;vielleicht;exaspération, emphase forte;exasperation, strong emphasis;Das ist vielleicht ein Chaos!;Quel bazar, quand même !;What a mess, honestly!
