type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
adjectif (chapitre VHS);B1;Kapitel 1 (VHS);anwesend;présent;present;Alle Mieter waren bei der Versammlung anwesend.;Tous les locataires étaient présents à la réunion.;All tenants were present at the meeting.
adjectif (chapitre VHS);B1;Kapitel 1 (VHS);ärgerlich;agaçant, contrarié;annoying, annoyed;Der Lärm vom Nachbarn ist wirklich ärgerlich.;Le bruit du voisin est vraiment agaçant.;The neighbor's noise is really annoying.
adjectif (chapitre VHS);B1;Kapitel 1 (VHS);ernst;sérieux;serious;Das ist ein ernstes Problem für die ganze Nachbarschaft.;C'est un problème sérieux pour tout le voisinage.;This is a serious problem for the whole neighborhood.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);biologisch;biologique;organic;Sie kauft nur biologisches Gemüse.;Elle n'achète que des légumes biologiques.;She only buys organic vegetables.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);dringend;urgent;urgent;Ich brauche dringend eine Antwort von Ihnen.;J'ai besoin d'une réponse urgente de votre part.;I urgently need an answer from you.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);ehrlich/unehrlich;honnête/malhonnête;honest/dishonest;Der Verkäufer war sehr ehrlich zu mir.;Le vendeur a été très honnête avec moi.;The salesperson was very honest with me.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);fern/nah;lointain/proche;far/near;Der Bahnhof ist nicht weit, er ist ganz nah.;La gare n'est pas loin, elle est toute proche.;The station isn't far, it's very near.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);gering;faible, minime;low, slight;Die Chancen auf Erfolg sind gering.;Les chances de succès sont minimes.;The chances of success are slight.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);gesamt;total, entier;total, entire;Der gesamte Betrag muss bis Freitag bezahlt werden.;Le montant total doit être payé avant vendredi.;The total amount must be paid by Friday.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);reif;mûr;ripe;Diese Bananen sind noch nicht reif.;Ces bananes ne sont pas encore mûres.;These bananas are not ripe yet.
adjectif (chapitre VHS);B1;Kapitel 2 (VHS);sauer/süß;aigre, acide/sucré;sour/sweet;Der Apfel schmeckt sehr sauer.;La pomme a un goût très acide.;The apple tastes very sour.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);abhängig;dépendant;dependent;Sie ist finanziell von ihren Eltern abhängig.;Elle dépend financièrement de ses parents.;She is financially dependent on her parents.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);dicht;dense, étanche;dense, tight, sealed;Das Fenster ist nicht mehr richtig dicht.;La fenêtre n'est plus vraiment étanche.;The window is no longer properly sealed.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);individuell;individuel, personnalisé;individual, personalized;Die Bank bietet individuelle Beratung an.;La banque propose un conseil personnalisé.;The bank offers individual advice.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);jährlich;annuel;yearly, annual;Die jährlichen Kosten für das Konto sind gering.;Les frais annuels du compte sont faibles.;The yearly costs for the account are low.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);komplett;complet;complete;Ich brauche eine komplette Liste aller Ausgaben.;J'ai besoin d'une liste complète de toutes les dépenses.;I need a complete list of all expenses.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);kompliziert;compliqué;complicated;Das Formular ist ziemlich kompliziert.;Le formulaire est assez compliqué.;The form is quite complicated.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);mobil;mobile;mobile;Mit dieser App bin ich finanziell mobil.;Avec cette application, je suis mobile financièrement.;With this app I'm financially mobile.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);sämtlich;tous, l'ensemble de;all, entire;Sämtliche Unterlagen wurden geprüft.;Tous les documents ont été vérifiés.;All the documents have been checked.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);zusätzlich;supplémentaire;additional;Es gibt zusätzliche Gebühren für diesen Service.;Il y a des frais supplémentaires pour ce service.;There are additional fees for this service.
adjectif (chapitre VHS);B1;Kapitel 3 (VHS);zuverlässig;fiable;reliable;Diese Bank ist sehr zuverlässig.;Cette banque est très fiable.;This bank is very reliable.
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);allergisch;allergique (à qch);allergic (to sth);Er ist allergisch gegen Nüsse.;Il est allergique aux noix.;He is allergic to nuts.
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);berufstätig;actif professionnellement;employed, working;Beide Elternteile sind berufstätig.;Les deux parents travaillent.;Both parents are employed.
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);deutlich;clair, net;clear, distinct;Sie hat ihre Essgewohnheiten deutlich verändert.;Elle a clairement changé ses habitudes alimentaires.;She has clearly changed her eating habits.
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);spannend/langweilig;passionnant/ennuyeux;exciting/boring;Der Vortrag über Ernährung war sehr spannend.;La conférence sur la nutrition était très passionnante.;The talk about nutrition was very exciting.
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);schuld (sein);être responsable, être en faute;to be at fault;Wer ist schuld an diesem Missverständnis?;Qui est en faute dans ce malentendu ?;Who is at fault in this misunderstanding?
adjectif (chapitre VHS);B1;Kapitel 4 (VHS);ungesund/gesund;malsain/sain;unhealthy/healthy;Fertiggerichte sind oft ungesund.;Les plats préparés sont souvent malsains.;Ready meals are often unhealthy.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);allmählich;progressivement, peu à peu;gradually;Sie gewöhnt sich allmählich an das neue Land.;Elle s'habitue peu à peu au nouveau pays.;She is gradually getting used to the new country.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);ängstlich/mutig;craintif/courageux;anxious/brave;Er war als Kind sehr ängstlich.;Il était très craintif enfant.;He was very anxious as a child.
adjectif (chapitre VHS);B1;Kapitel 5 (VHS);augenblicklich;immédiat, sur le moment;instant, momentary;Ihre augenblickliche Reaktion war Überraschung.;Sa réaction immédiate a été la surprise.;Her instant reaction was surprise.
