type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
adverbe;A1;Zeit;heute;aujourd'hui;today;Heute arbeite ich zu Hause.;Aujourd'hui, je travaille à la maison.;Today I'm working at home.
adverbe;A1;Zeit;gestern;hier;yesterday;Gestern war ich im Kino.;Hier, j'étais au cinéma.;Yesterday I was at the cinema.
adverbe;A1;Zeit;morgen;demain;tomorrow;Morgen fahren wir nach Berlin.;Demain, nous allons à Berlin.;Tomorrow we're going to Berlin.
adverbe;A1;Zeit;jetzt;maintenant;now;Ich muss jetzt gehen.;Je dois y aller maintenant.;I have to go now.
adverbe;A1;Zeit;bald;bientôt;soon;Der Zug kommt bald.;Le train arrive bientôt.;The train is coming soon.
adverbe;A1;Zeit;später;plus tard;later;Wir sprechen später darüber.;Nous en parlerons plus tard.;We'll talk about it later.
adverbe;A1;Zeit;früh;tôt;early;Am Montag stehe ich früh auf.;Le lundi, je me lève tôt.;On Mondays I get up early.
adverbe;A1;Zeit;spät;tard;late;Gestern bin ich spät nach Hause gekommen.;Hier, je suis rentré tard à la maison.;Yesterday I came home late.
adverbe;A1;Zeit;zuerst;d'abord;first;Zuerst trinke ich einen Kaffee.;D'abord, je bois un café.;First I drink a coffee.
adverbe;A1;Zeit;dann;ensuite, puis;then;Dann gehe ich zur Arbeit.;Ensuite, je vais au travail.;Then I go to work.
adverbe;A1;Zeit;danach;après (cela);afterwards;Wir essen und danach sehen wir einen Film.;Nous mangeons et après nous regardons un film.;We eat and afterwards we watch a film.
adverbe;A1;Zeit;schon;déjà;already;Das Kind kann schon lesen.;L'enfant sait déjà lire.;The child can already read.
adverbe;A1;Ort/Richtung;hier;ici;here;Hier ist mein Platz.;Ici, c'est ma place.;This is my seat here.
adverbe;A1;Ort/Richtung;da;là;there;Ist jemand da?;Il y a quelqu'un là ?;Is anyone there?
adverbe;A1;Ort/Richtung;dort;là-bas;over there;Dort steht ein altes Haus.;Là-bas se trouve une vieille maison.;Over there stands an old house.
adverbe;A1;Ort/Richtung;oben;en haut;upstairs, above;Das Bad ist oben.;La salle de bain est en haut.;The bathroom is upstairs.
adverbe;A1;Ort/Richtung;unten;en bas;downstairs, below;Die Küche ist unten.;La cuisine est en bas.;The kitchen is downstairs.
adverbe;A1;Ort/Richtung;links;à gauche;on the left;Die Apotheke ist links.;La pharmacie est à gauche.;The pharmacy is on the left.
adverbe;A1;Ort/Richtung;rechts;à droite;on the right;Gehen Sie rechts bis zur Ampel.;Allez à droite jusqu'au feu.;Go right up to the traffic light.
adverbe;A1;Ort/Richtung;draußen;dehors;outside;Die Kinder spielen draußen.;Les enfants jouent dehors.;The children are playing outside.
adverbe;A1;Ort/Richtung;drinnen;à l'intérieur;inside;Bei Regen bleiben wir drinnen.;Quand il pleut, nous restons à l'intérieur.;When it rains we stay inside.
adverbe;A1;Ort/Richtung;überall;partout;everywhere;Im Sommer gibt es überall Blumen.;En été, il y a des fleurs partout.;In summer there are flowers everywhere.
adverbe;A1;Häufigkeit;immer;toujours;always;Er trinkt immer Tee zum Frühstück.;Il boit toujours du thé au petit-déjeuner.;He always drinks tea for breakfast.
adverbe;A1;Häufigkeit;oft;souvent;often;Wir gehen oft spazieren.;Nous allons souvent nous promener.;We often go for a walk.
adverbe;A1;Häufigkeit;manchmal;parfois;sometimes;Manchmal koche ich am Wochenende.;Parfois, je cuisine le week-end.;Sometimes I cook on the weekend.
adverbe;A1;Häufigkeit;selten;rarement;rarely;Ich sehe ihn nur selten.;Je le vois rarement.;I rarely see him.
adverbe;A1;Häufigkeit;nie;jamais;never;Sie kommt nie zu spät.;Elle n'arrive jamais en retard.;She is never late.
adverbe;A1;Häufigkeit;meistens;la plupart du temps;most of the time;Meistens fahre ich mit dem Rad.;La plupart du temps, je vais à vélo.;Most of the time I go by bike.
adverbe;A1;Art und Weise;gern;volontiers, avec plaisir;gladly;Ich trinke gern Kaffee.;J'aime bien boire du café.;I like drinking coffee.
adverbe;A1;Art und Weise;gut;bien;well;Sie spricht sehr gut Deutsch.;Elle parle très bien allemand.;She speaks German very well.
adverbe;A1;Art und Weise;schnell;vite;quickly;Du sprichst zu schnell.;Tu parles trop vite.;You speak too quickly.
adverbe;A1;Art und Weise;langsam;lentement;slowly;Bitte sprechen Sie langsam.;Parlez lentement, s'il vous plaît.;Please speak slowly.
adverbe;A1;Art und Weise;laut;fort, bruyamment;loudly;Die Nachbarn hören laut Musik.;Les voisins écoutent la musique fort.;The neighbours are playing music loudly.
adverbe;A1;Art und Weise;leise;doucement, sans bruit;quietly;Das Baby schläft, sprich bitte leise.;Le bébé dort, parle doucement s'il te plaît.;The baby is sleeping, please speak quietly.
adverbe;A1;Art und Weise;zusammen;ensemble;together;Wir lernen zusammen für die Prüfung.;Nous étudions ensemble pour l'examen.;We study together for the exam.
adverbe;A1;Art und Weise;allein;seul;alone;Er wohnt allein in der Stadt.;Il habite seul en ville.;He lives alone in the city.
adverbe;A1;Grad/Menge;sehr;très;very;Der Film war sehr interessant.;Le film était très intéressant.;The film was very interesting.
adverbe;A1;Grad/Menge;zu;trop;too;Die Suppe ist zu heiß.;La soupe est trop chaude.;The soup is too hot.
adverbe;A1;Grad/Menge;genug;assez, suffisamment;enough;Wir haben genug Zeit.;Nous avons assez de temps.;We have enough time.
adverbe;A1;Grad/Menge;fast;presque;almost;Das Essen ist fast fertig.;Le repas est presque prêt.;The meal is almost ready.
adverbe;A1;Grad/Menge;viel;beaucoup;a lot;Mein Vater arbeitet viel.;Mon père travaille beaucoup.;My father works a lot.
adverbe;A1;Grad/Menge;wenig;peu;little;Sie isst abends wenig.;Le soir, elle mange peu.;She eats little in the evening.
adverbe;A1;Grad/Menge;ein bisschen;un peu;a little;Ich spreche ein bisschen Deutsch.;Je parle un peu allemand.;I speak a little German.
adverbe;A1;Grund/Folge;deshalb;c'est pourquoi;that's why;Es regnet, deshalb bleiben wir zu Hause.;Il pleut, c'est pourquoi nous restons à la maison.;It's raining, that's why we're staying home.
adverbe;A1;Grund/Folge;also;donc;so;Der Laden ist zu, also kaufen wir morgen ein.;Le magasin est fermé, donc nous ferons les courses demain.;The shop is closed, so we'll shop tomorrow.
adverbe;A1;Verbindung/Logik;auch;aussi;also, too;Meine Schwester kommt auch mit.;Ma sœur vient aussi.;My sister is coming too.
adverbe;A1;Frageadverbien;wann;quand;when;Wann beginnt der Kurs?;Quand commence le cours ?;When does the course start?
adverbe;A1;Frageadverbien;wo;où;where;Wo wohnst du?;Où habites-tu ?;Where do you live?
adverbe;A1;Frageadverbien;wie;comment;how;Wie heißt du?;Comment t'appelles-tu ?;What's your name?
adverbe;A1;Frageadverbien;warum;pourquoi;why;Warum lernst du Deutsch?;Pourquoi apprends-tu l'allemand ?;Why are you learning German?
adverbe;A1;Art und Weise;bitte;s'il te plaît, s'il vous plaît;please;Kannst du mir bitte helfen?;Peux-tu m'aider, s'il te plaît ?;Can you help me, please?
adverbe;A1;Art und Weise;wirklich;vraiment;really;Das war wirklich nett von dir.;C'était vraiment gentil de ta part.;That was really kind of you.
adverbe;A2;Zeit;gerade;juste, en ce moment;just now;Ich habe gerade mit ihr telefoniert.;Je viens juste de lui parler au téléphone.;I've just spoken with her on the phone.
adverbe;A2;Zeit;sofort;tout de suite;immediately;Komm bitte sofort nach Hause.;Rentre à la maison tout de suite, s'il te plaît.;Please come home immediately.
adverbe;A2;Zeit;gleich;dans un instant;in a moment;Ich bin gleich fertig.;J'ai bientôt fini.;I'll be done in a moment.
adverbe;A2;Zeit;vorher;avant, auparavant;beforehand;Ruf mich bitte vorher an.;Appelle-moi avant, s'il te plaît.;Please call me beforehand.
adverbe;A2;Zeit;nachher;après, plus tard;afterwards;Wir sehen uns nachher im Café.;On se voit après au café.;We'll see each other afterwards at the café.
adverbe;A2;Zeit;damals;à l'époque;back then;Damals wohnten wir in München.;À l'époque, nous habitions à Munich.;Back then we lived in Munich.
adverbe;A2;Zeit;neulich;l'autre jour;the other day;Neulich habe ich deinen Bruder getroffen.;L'autre jour, j'ai rencontré ton frère.;The other day I ran into your brother.
adverbe;A2;Zeit;endlich;enfin;finally;Endlich scheint die Sonne.;Enfin le soleil brille.;The sun is finally shining.
adverbe;A2;Zeit;zurzeit;actuellement;currently;Zurzeit suche ich eine neue Wohnung.;Actuellement, je cherche un nouvel appartement.;I'm currently looking for a new flat.
adverbe;A2;Zeit;inzwischen;entre-temps;in the meantime;Inzwischen ist das Essen kalt geworden.;Entre-temps, le repas a refroidi.;In the meantime the food has gone cold.
adverbe;A2;Zeit;vorgestern;avant-hier;the day before yesterday;Vorgestern war ich beim Zahnarzt.;Avant-hier, j'étais chez le dentiste.;The day before yesterday I was at the dentist.
adverbe;A2;Zeit;übermorgen;après-demain;the day after tomorrow;Übermorgen beginnt der Kurs.;Après-demain, le cours commence.;The course starts the day after tomorrow.
adverbe;A2;Zeit;montags;le lundi (habituellement);on Mondays;Montags habe ich immer Sport.;Le lundi, j'ai toujours du sport.;On Mondays I always have sports.
adverbe;A2;Zeit;abends;le soir;in the evening;Abends lese ich meistens ein Buch.;Le soir, je lis généralement un livre.;In the evening I usually read a book.
adverbe;A2;Ort/Richtung;vorne;devant;at the front;Die Kinder sitzen vorne im Bus.;Les enfants sont assis devant dans le bus.;The children sit at the front of the bus.
adverbe;A2;Ort/Richtung;hinten;derrière, au fond;at the back;Der Drucker steht hinten im Büro.;L'imprimante est au fond du bureau.;The printer is at the back of the office.
adverbe;A2;Ort/Richtung;drüben;de l'autre côté;over there;Die Bäckerei ist drüben auf der anderen Straßenseite.;La boulangerie est de l'autre côté de la rue.;The bakery is over there on the other side of the street.
adverbe;A2;Ort/Richtung;nebenan;à côté;next door;Meine Kollegin arbeitet nebenan.;Ma collègue travaille à côté.;My colleague works next door.
adverbe;A2;Ort/Richtung;geradeaus;tout droit;straight ahead;Gehen Sie geradeaus bis zur Kirche.;Allez tout droit jusqu'à l'église.;Go straight ahead to the church.
adverbe;A2;Ort/Richtung;zurück;en arrière, de retour;back;Wir fahren morgen wieder zurück.;Nous rentrons demain.;We're driving back tomorrow.
adverbe;A2;Ort/Richtung;weg;parti, absent;gone, away;Mein Schlüssel ist weg.;Ma clé a disparu.;My key is gone.
adverbe;A2;Ort/Richtung;hinauf;vers le haut;up (away from speaker);Wir gehen den Berg hinauf.;Nous montons la montagne.;We're walking up the mountain.
adverbe;A2;Ort/Richtung;hinunter;vers le bas;down (away from speaker);Die Kinder laufen die Treppe hinunter.;Les enfants descendent l'escalier en courant.;The children run down the stairs.
adverbe;A2;Ort/Richtung;irgendwo;quelque part;somewhere;Mein Ausweis muss irgendwo hier sein.;Ma carte d'identité doit être quelque part ici.;My ID must be somewhere here.
adverbe;A2;Häufigkeit;normalerweise;normalement;normally;Normalerweise stehe ich um sechs auf.;Normalement, je me lève à six heures.;Normally I get up at six.
adverbe;A2;Häufigkeit;gewöhnlich;habituellement;usually;Gewöhnlich essen wir um sieben.;Habituellement, nous mangeons à sept heures.;We usually eat at seven.
adverbe;A2;Häufigkeit;häufig;fréquemment;frequently;Dieser Fehler kommt häufig vor.;Cette erreur se produit fréquemment.;This mistake occurs frequently.
adverbe;A2;Häufigkeit;regelmäßig;régulièrement;regularly;Sie geht regelmäßig ins Fitnessstudio.;Elle va régulièrement à la salle de sport.;She goes to the gym regularly.
adverbe;A2;Häufigkeit;täglich;quotidiennement;daily;Der Bus fährt täglich um acht.;Le bus part tous les jours à huit heures.;The bus leaves daily at eight.
adverbe;A2;Häufigkeit;wöchentlich;chaque semaine;weekly;Wir treffen uns wöchentlich im Verein.;Nous nous retrouvons chaque semaine au club.;We meet weekly at the club.
adverbe;A2;Häufigkeit;monatlich;chaque mois;monthly;Die Miete wird monatlich bezahlt.;Le loyer est payé chaque mois.;The rent is paid monthly.
adverbe;A2;Häufigkeit;ab und zu;de temps en temps;now and then;Ab und zu gehen wir ins Theater.;De temps en temps, nous allons au théâtre.;Now and then we go to the theatre.
adverbe;A2;Art und Weise;vorsichtig;prudemment;carefully;Fahr bitte vorsichtig!;Conduis prudemment, s'il te plaît !;Please drive carefully!
adverbe;A2;Art und Weise;plötzlich;soudain;suddenly;Plötzlich ging das Licht aus.;Soudain, la lumière s'est éteinte.;Suddenly the light went out.
adverbe;A2;Art und Weise;ruhig;calmement;calmly;Er erklärte alles ganz ruhig.;Il a tout expliqué très calmement.;He explained everything very calmly.
adverbe;A2;Art und Weise;deutlich;clairement, distinctement;clearly;Bitte sprechen Sie deutlich.;Veuillez parler distinctement.;Please speak clearly.
adverbe;A2;Art und Weise;genau;exactement, précisément;exactly;Erklär mir das bitte genau.;Explique-moi ça précisément, s'il te plaît.;Please explain that to me exactly.
adverbe;A2;Art und Weise;sicher;sûrement, en sécurité;safely, surely;Das Kind sitzt sicher im Kindersitz.;L'enfant est assis en sécurité dans son siège.;The child sits safely in the car seat.
adverbe;A2;Art und Weise;gemeinsam;ensemble, en commun;jointly;Wir haben das Projekt gemeinsam geplant.;Nous avons planifié le projet ensemble.;We planned the project jointly.
adverbe;A2;Art und Weise;freundlich;aimablement;kindly;Die Verkäuferin hat uns freundlich begrüßt.;La vendeuse nous a salués aimablement.;The saleswoman greeted us kindly.
