type;niveau;categorie;allemand;francais;anglais;exemple_de;exemple_fr;exemple_en
preposition;A1;toujours Akkusativ;für;pour;for;Das Geschenk ist für dich.;Le cadeau est pour toi.;The gift is for you.
preposition;A1;toujours Akkusativ;ohne;sans;without;Ich trinke Kaffee ohne Zucker.;Je bois le café sans sucre.;I drink coffee without sugar.
preposition;A2;toujours Akkusativ;durch;à travers;through;Wir gehen durch den Wald.;Nous marchons à travers la forêt.;We walk through the forest.
preposition;A2;toujours Akkusativ;gegen;contre;against;Er läuft gegen die Wand.;Il court contre le mur.;He runs into the wall.
preposition;A1;toujours Akkusativ;um;autour de / à (heure);around / at (time);Wir treffen uns um sieben Uhr.;On se retrouve à sept heures.;We're meeting at seven o'clock.
preposition;A1;toujours Akkusativ;bis;jusqu'à;until;Ich bleibe bis Freitag hier.;Je reste ici jusqu'à vendredi.;I'm staying here until Friday.
preposition;A1;toujours Dativ;mit;avec;with;Ich fahre mit dem Bus.;Je vais en bus.;I go by bus.
preposition;A1;toujours Dativ;nach;après / vers;after / to(wards);Nach der Schule gehe ich nach Hause.;Après l'école, je rentre à la maison.;After school, I go home.
preposition;A1;toujours Dativ;aus;de / hors de;from / out of;Ich komme aus der Schweiz.;Je viens de Suisse.;I come from Switzerland.
preposition;A1;toujours Dativ;bei;chez / près de;at (someone's place) / near;Ich wohne bei meinen Eltern.;J'habite chez mes parents.;I live at my parents' place.
preposition;A2;toujours Dativ;seit;depuis;since / for;Ich lerne seit zwei Jahren Deutsch.;J'apprends l'allemand depuis deux ans.;I've been learning German for two years.
preposition;A1;toujours Dativ;von;de / de la part de;from / on behalf of;Das Geschenk ist von meiner Schwester.;Le cadeau vient de ma sœur.;The gift is from my sister.
preposition;A1;toujours Dativ;zu;vers / chez;to;Ich gehe zu meiner Freundin.;Je vais chez mon amie.;I'm going to my girlfriend's place.
preposition;A2;toujours Dativ;ab;à partir de;from (a point on);Ab dem ersten Mai arbeite ich hier.;À partir du premier mai, je travaille ici.;Starting May first, I work here.
preposition;B1;toujours Dativ;außer;sauf / excepté;except / apart from;Außer meiner Schwester kommt niemand.;À part ma sœur, personne ne vient.;Except for my sister, nobody is coming.
preposition;B1;toujours Dativ;gegenüber;en face de;across from / opposite;Die Bäckerei ist gegenüber der Kirche.;La boulangerie est en face de l'église.;The bakery is across from the church.
preposition;B1;toujours Genitiv;wegen;à cause de;because of;Wegen des Regens bleiben wir zu Hause.;À cause de la pluie, on reste à la maison.;Because of the rain, we're staying home.
preposition;B1;toujours Genitiv;während;pendant;during;Während des Urlaubs lese ich viel.;Pendant les vacances, je lis beaucoup.;During the vacation, I read a lot.
preposition;B1;toujours Genitiv;trotz;malgré;despite;Trotz des Regens gehen wir spazieren.;Malgré la pluie, on va se promener.;Despite the rain, we're going for a walk.
preposition;A1;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);auf;sur;on;Das Buch liegt auf dem Tisch.;Le livre est sur la table.;The book is on the table.
preposition;A1;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);in;dans;in;Wir gehen in den Park.;Nous allons dans le parc.;We're going into the park.
preposition;A1;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);an;à / contre (vertical);at / against (vertical);Das Bild hängt an der Wand.;Le tableau est accroché au mur.;The picture is hanging on the wall.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);über;au-dessus de / par-dessus;above / over;Die Lampe hängt über dem Tisch.;La lampe est suspendue au-dessus de la table.;The lamp hangs above the table.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);unter;sous;under;Die Katze liegt unter dem Bett.;Le chat est couché sous le lit.;The cat is lying under the bed.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);vor;devant / avant;in front of / before;Das Auto steht vor dem Haus.;La voiture est garée devant la maison.;The car is parked in front of the house.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);hinter;derrière;behind;Der Garten ist hinter dem Haus.;Le jardin est derrière la maison.;The garden is behind the house.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);neben;à côté de;next to;Er sitzt neben mir.;Il est assis à côté de moi.;He's sitting next to me.
preposition;A2;Wechselpräposition (Wo=Dativ, Wohin=Akkusativ);zwischen;entre;between;Die Schule liegt zwischen dem Park und dem Fluss.;L'école se trouve entre le parc et la rivière.;The school is located between the park and the river.
preposition;B1;toujours Genitiv;statt;au lieu de;instead of;Statt des Autos nehme ich das Rad.;Au lieu de la voiture, je prends le vélo.;Instead of the car I take the bike.
preposition;B1;toujours Genitiv;innerhalb;à l'intérieur de, dans un délai de;within;Antworten Sie innerhalb einer Woche.;Répondez dans un délai d'une semaine.;Please reply within a week.
preposition;B1;toujours Genitiv;einschließlich;y compris;including;Der Preis gilt einschließlich der Getränke.;Le prix s'entend boissons comprises.;The price applies including drinks.
preposition;B1;toujours Akkusativ;entlang;le long de;along;Wir gehen den Fluss entlang.;Nous marchons le long de la rivière.;We walk along the river.
preposition;B1;toujours Akkusativ;per;par (moyen);by (means of);Schicken Sie das bitte per E-Mail.;Envoyez cela par courriel, s'il vous plaît.;Please send that by email.
